Age,Sex,Pref,DiagnoseYear,Population
21,female,5101,2018,66347
22,female,5101,2000,65215
22,female,5101,2001,77934
22,female,5101,2002,71156
22,female,5101,2003,99487
22,female,5101,2004,111012
22,female,5101,2005,88259
22,female,5101,2006,81436
22,female,5101,2007,96143
22,female,5101,2008,110284
22,female,5101,2009,119903
22,female,5101,2010,102629
22,female,5101,2011,106542
22,female,5101,2012,95278
22,female,5101,2013,89908
22,female,5101,2014,77893
22,female,5101,2015,81739
22,female,5101,2016,70161
22,female,5101,2017,79140
22,female,5101,2018,68041
23,female,5101,2000,83261
23,female,5101,2001,66567
23,female,5101,2002,81365
23,female,5101,2003,75095
23,female,5101,2004,104160
23,female,5101,2005,116641
23,female,5101,2006,94899
23,female,5101,2007,88566
23,female,5101,2008,103148
23,female,5101,2009,116600
23,female,5101,2010,125011
23,female,5101,2011,106196
23,female,5101,2012,108815
23,female,5101,2013,96629
23,female,5101,2014,90678
23,female,5101,2015,78399
23,female,5101,2016,82223
23,female,5101,2017,70656
23,female,5101,2018,79643
24,female,5101,2000,103885
24,female,5101,2001,84622
24,female,5101,2002,70021
24,female,5101,2003,85286
24,female,5101,2004,79723
24,female,5101,2005,109672
24,female,5101,2006,123068
24,female,5101,2007,101737
24,female,5101,2008,95218
24,female,5101,2009,109078
24,female,5101,2010,121337
24,female,5101,2011,128274
24,female,5101,2012,108249
24,female,5101,2013,110018
24,female,5101,2014,97304
24,female,5101,2015,91114
24,female,5101,2016,78809
24,female,5101,2017,82635
24,female,5101,2018,71066
25,female,5101,2000,123331
25,female,5101,2001,105123
25,female,5101,2002,87837
25,female,5101,2003,73758
25,female,5101,2004,89777
25,female,5101,2005,85200
25,female,5101,2006,116192
25,female,5101,2007,130153
25,female,5101,2008,108799
25,female,5101,2009,101677
25,female,5101,2010,114373
25,female,5101,2011,125084
25,female,5101,2012,130696
25,female,5101,2013,109711
25,female,5101,2014,110863
25,female,5101,2015,97869
25,female,5101,2016,91665
25,female,5101,2017,79383
25,female,5101,2018,83229
26,female,5101,2000,116330
26,female,5101,2001,124553
26,female,5101,2002,108303
26,female,5101,2003,91520
26,female,5101,2004,78175
26,female,5101,2005,95128
26,female,5101,2006,91548
26,female,5101,2007,123048
26,female,5101,2008,136941
26,female,5101,2009,114977
26,female,5101,2010,106716
26,female,5101,2011,117918
26,female,5101,2012,127362
26,female,5101,2013,132060
26,female,5101,2014,110496
26,female,5101,2015,111384
26,female,5101,2016,98374
26,female,5101,2017,92188
26,female,5101,2018,79920
27,female,5101,2000,123804
27,female,5101,2001,117440
27,female,5101,2002,127449
27,female,5101,2003,111673
27,female,5101,2004,95584
27,female,5101,2005,83132
27,female,5101,2006,101026
27,female,5101,2007,97956
27,female,5101,2008,129415
27,female,5101,2009,142754
27,female,5101,2010,119742
27,female,5101,2011,110087
27,female,5101,2012,120094
27,female,5101,2013,128672
27,female,5101,2014,132817
27,female,5101,2015,111002
27,female,5101,2016,111877
27,female,5101,2017,98887
27,female,5101,2018,92717
28,female,5101,2000,126974
28,female,5101,2001,124765
28,female,5101,2002,120028
28,female,5101,2003,130497
28,female,5101,2004,115412
28,female,5101,2005,100221
28,female,5101,2006,88747
28,female,5101,2007,107212
28,female,5101,2008,104206
28,female,5101,2009,135203
28,female,5101,2010,147566
28,female,5101,2011,123201
28,female,5101,2012,112357
28,female,5101,2013,121482
28,female,5101,2014,129487
28,female,5101,2015,133370
28,female,5101,2016,111549
28,female,5101,2017,112455
28,female,5101,2018,99493
29,female,5101,2000,144822
29,female,5101,2001,127853
29,female,5101,2002,127154
29,female,5101,2003,122844
29,female,5101,2004,133930
29,female,5101,2005,119662
29,female,5101,2006,105358
29,female,5101,2007,94400
29,female,5101,2008,112898
29,female,5101,2009,109462
29,female,5101,2010,139554
29,female,5101,2011,150677
29,female,5101,2012,125238
29,female,5101,2013,113600
29,female,5101,2014,122210
29,female,5101,2015,129980
29,female,5101,2016,133855
29,female,5101,2017,112060
29,female,5101,2018,112989
30,female,5101,2000,139007
30,female,5101,2001,145665
30,female,5101,2002,130158
30,female,5101,2003,129847
30,female,5101,2004,126111
30,female,5101,2005,137929
30,female,5101,2006,124461
30,female,5101,2007,110600
30,female,5101,2008,99641
30,female,5101,2009,117696
30,female,5101,2010,113408
30,female,5101,2011,142346
30,female,5101,2012,152483
30,female,5101,2013,126330
30,female,5101,2014,114233
30,female,5101,2015,122636
30,female,5101,2016,130398
30,female,5101,2017,134292
30,female,5101,2018,112514
31,female,5101,2000,136896
31,female,5101,2001,139743
31,female,5101,2002,147708
31,female,5101,2003,132584
31,female,5101,2004,132817
31,female,5101,2005,129791
31,female,5101,2006,142373
31,female,5101,2007,129362
31,female,5101,2008,115546
31,female,5101,2009,104218
31,female,5101,2010,121486
31,female,5101,2011,116120
31,female,5101,2012,144111
31,female,5101,2013,153553
31,female,5101,2014,126956
31,female,5101,2015,114657
31,female,5101,2016,123059
31,female,5101,2017,130846
31,female,5101,2018,134761
32,female,5101,2000,133136
32,female,5101,2001,137614
32,female,5101,2002,141726
32,female,5101,2003,150039
32,female,5101,2004,135442
32,female,5101,2005,136349
32,female,5101,2006,134054
32,female,5101,2007,147051
32,female,5101,2008,134072
32,female,5101,2009,119896
32,female,5101,2010,107820
32,female,5101,2011,124049
32,female,5101,2012,117786
32,female,5101,2013,145110
32,female,5101,2014,154125
32,female,5101,2015,127341
32,female,5101,2016,115042
32,female,5101,2017,123466
32,female,5101,2018,131273
33,female,5101,2000,102640
33,female,5101,2001,133692
33,female,5101,2002,139210
33,female,5101,2003,143651
33,female,5101,2004,152445
33,female,5101,2005,138496
33,female,5101,2006,140117
33,female,5101,2007,138285
33,female,5101,2008,151389
33,female,5101,2009,138160
33,female,5101,2010,123348
33,female,5101,2011,110330
33,female,5101,2012,125704
33,female,5101,2013,118802
33,female,5101,2014,145695
33,female,5101,2015,154514
33,female,5101,2016,127741
33,female,5101,2017,115478
33,female,5101,2018,123933
34,female,5101,2000,117787
34,female,5101,2001,103225
34,female,5101,2002,135311
34,female,5101,2003,141143
34,female,5101,2004,146049
34,female,5101,2005,155449
34,female,5101,2006,142184
34,female,5101,2007,144222
34,female,5101,2008,142465
34,female,5101,2009,155285
34,female,5101,2010,141423
34,female,5101,2011,125702
34,female,5101,2012,111878
34,female,5101,2013,126641
34,female,5101,2014,119345
34,female,5101,2015,146051
34,female,5101,2016,154872
34,female,5101,2017,128134
34,female,5101,2018,115901
35,female,5101,2000,121240
35,female,5101,2001,118352
35,female,5101,2002,104851
35,female,5101,2003,137222
35,female,5101,2004,143506
